id,id_trabajador,fecha,dia_semana,hora_entrada,hora_salida,modificado
60,45678901D,2022-01-25,Martes,07:06:09,14:54:14,false
61,12345678A,2022-01-26,Miércoles,07:01:42,15:13:02,false
62,23456789B,2022-01-26,Miércoles,06:55:16,15:02:53,false
63,34567890C,2022-01-26,Miércoles,06:53:09,15:03:00,false
64,45678901D,2022-01-26,Miércoles,07:01:11,15:04:43,false
65,56789012E,2022-01-26,Miércoles,07:04:28,14:57:35,false
66,12345678A,2022-01-27,Jueves,07:14:59,15:13:34,false
67,23456789B,2022-01-27,Jueves,06:49:40,14:45:15,false
68,34567890C,2022-01-27,Jueves,06:51:36,14:45:11,false
69,45678901D,2022-01-27,Jueves,06:52:58,15:15:54,false
70,23456789B,2022-01-28,Viernes,07:05:20,15:01:21,false
71,34567890C,2022-01-28,Viernes,07:02:07,14:48:28,false
72,45678901D,2022-01-28,Viernes,06:47:06,15:00:57,false
73,56789012E,2022-01-28,Viernes,07:12:14,14:56:54,false
74,12345678A,2022-01-31,Lunes,07:14:52,14:47:00,false
75,34567890C,2022-01-31,Lunes,07:07:40,14:55:50,false
76,45678901D,2022-01-31,Lunes,07:06:48,14:48:56,false
77,23456789B,2022-02-01,Martes,06:57:14,15:09:12,false
78,34567890C,2022-02-01,Martes,07:00:01,14:59:13,false
79,45678901D,2022-02-01,Martes,07:13:46,15:01:24,false
80,56789012E,2022-02-01,Martes,07:14:39,14:47:32,false
81,12345678A,2022-02-02,Miércoles,06:56:06,15:09:06,false
82,23456789B,2022-02-02,Miércoles,07:07:39,15:00:18,false
83,34567890C,2022-02-02,Miércoles,07:14:13,15:09:50,false
84,45678901D,2022-02-02,Miércoles,06:58:34,14:49:16,false
85,34567890C,2022-02-03,Jueves,06:54:40,14:45:08,false
86,45678901D,2022-02-03,Jueves,07:06:24,15:11:21,false
87,56789012E,2022-02-03,Jueves,07:05:10,14:52:48,false
88,12345678A,2022-02-04,Viernes,06:49:06,14:53:45,false
89,34567890C,2022-02-04,Viernes,07:02:57,14:48:15,false
90,45678901D,2022-02-04,Viernes,07:04:21,14:57:03,false
91,56789012E,2022-02-04,Viernes,07:00:22,15:00:41,false
92,12345678A,2022-02-07,Lunes,07:11:28,15:10:06,false
93,23456789B,2022-02-07,Lunes,06:46:35,15:15:39,false
94,34567890C,2022-02-07,Lunes,07:09:07,14:58:50,false
95,45678901D,2022-02-07,Lunes,06:52:46,14:47:09,false
96,56789012E,2022-02-07,Lunes,07:05:31,14:48:33,false
97,12345678A,2022-02-08,Martes,07:13:46,14:46:28,false
98,34567890C,2022-02-08,Martes,06:45:18,15:07:35,false
99,45678901D,2022-02-08,Martes,06:59:08,14:47:03,false
100,56789012E,2022-02-08,Martes,07:07:32,15:09:45,false
101,12345678A,2022-02-09,Miércoles,06:48:46,14:52:19,false
102,23456789B,2022-02-09,Miércoles,07:15:57,15:00:16,false
103,34567890C,2022-02-09,Miércoles,07:06:46,14:47:31,false
104,45678901D,2022-02-09,Miércoles,06:46:42,14:48:05,false
105,56789012E,2022-02-09,Miércoles,07:04:37,14:58:07,false
106,12345678A,2022-02-10,Jueves,07:06:12,15:07:30,false
107,23456789B,2022-02-10,Jueves,07:13:25,15:01:29,false
108,34567890C,2022-02-10,Jueves,06:45:13,15:12:24,false
109,45678901D,2022-02-10,Jueves,06:54:59,14:54:50,false
110,56789012E,2022-02-10,Jueves,06:54:17,14:53:13,false
111,12345678A,2022-02-11,Viernes,06:48:26,14:49:32,false
112,23456789B,2022-02-11,Viernes,06:45:03,15:06:31,false
113,34567890C,2022-02-11,Viernes,07:04:08,15:05:02,false
114,45678901D,2022-02-11,Viernes,06:46:00,15:10:01,false
115,56789012E,2022-02-11,Viernes,06:47:08,14:57:26,false
116,12345678A,2022-02-14,Lunes,07:14:13,14:54:29,false
117,23456789B,2022-02-14,Lunes,07:01:01,14:50:54,false
118,34567890C,2022-02-14,Lunes,07:05:46,15:03:46,false
119,56789012E,2022-02-14,Lunes,06:49:51,15:13:11,false
120,12345678A,2022-02-15,Martes,07:07:18,15:00:06,false
121,34567890C,2022-02-15,Martes,07:01:03,14:56:07,false
122,45678901D,2022-02-15,Martes,06:57:06,15:01:58,false
123,56789012E,2022-02-15,Martes,07:03:23,15:02:08,false
124,12345678A,2022-02-16,Miércoles,06:49:37,15:13:04,false
125,34567890C,2022-02-16,Miércoles,07:03:48,14:55:21,false
126,45678901D,2022-02-16,Miércoles,06:50:10,15:09:53,false
127,56789012E,2022-02-16,Miércoles,06:55:00,14:57:58,false
128,12345678A,2022-02-17,Jueves,06:58:49,15:10:34,false
129,34567890C,2022-02-17,Jueves,07:00:00,15:13:30,false
130,56789012E,2022-02-17,Jueves,06:50:47,14:45:50,false
131,23456789B,2022-02-18,Viernes,06:59:20,15:07:17,false
132,34567890C,2022-02-18,Viernes,07:10:34,14:48:34,false
133,56789012E,2022-02-18,Viernes,07:06:43,15:04:40,false
134,12345678A,2022-02-21,Lunes,06:49:42,15:12:56,false
135,34567890C,2022-02-21,Lunes,07:00:45,15:05:37,false
136,45678901D,2022-02-21,Lunes,06:54:39,14:48:34,false
137,56789012E,2022-02-21,Lunes,06:52:47,15:10:35,false
138,12345678A,2022-02-22,Martes,07:13:19,15:13:11,false
139,23456789B,2022-02-22,Martes,06:50:20,14:48:18,false
140,34567890C,2022-02-22,Martes,06:48:16,15:02:48,false
141,45678901D,2022-02-22,Martes,06:51:02,14:57:54,false
142,56789012E,2022-02-22,Martes,06:58:20,14:50:20,false
143,12345678A,2022-02-23,Miércoles,06:49:41,14:57:24,false
144,23456789B,2022-02-23,Miércoles,06:57:34,15:14:37,false
145,34567890C,2022-02-23,Miércoles,07:12:01,14:56:02,false
146,56789012E,2022-02-23,Miércoles,07:11:45,14:52:19,false
147,34567890C,2022-02-24,Jueves,06:52:53,14:57:30,false
148,45678901D,2022-02-24,Jueves,07:02:09,14:55:20,false
149,56789012E,2022-02-24,Jueves,07:14:34,15:11:01,false
150,12345678A,2022-02-25,Viernes,06:50:32,14:45:43,false
151,34567890C,2022-02-25,Viernes,07:04:23,15:12:51,false
152,45678901D,2022-02-25,Viernes,07:05:50,15:07:15,false
153,56789012E,2022-02-25,Viernes,07:02:10,15:07:18,false
154,23456789B,2022-02-28,Lunes,07:03:12,15:02:06,false
155,34567890C,2022-02-28,Lunes,07:09:47,15:00:26,false
156,56789012E,2022-02-28,Lunes,07:13:05,14:50:33,false
157,12345678A,2022-03-01,Martes,07:06:35,14:47:51,false
158,34567890C,2022-03-01,Martes,06:52:07,15:14:44,false
159,45678901D,2022-03-01,Martes,06:49:42,14:59:04,false
160,56789012E,2022-03-01,Martes,06:51:50,15:03:34,false
161,12345678A,2022-03-02,Miércoles,06:54:40,15:06:23,false
162,34567890C,2022-03-02,Miércoles,06:50:50,15:12:39,false
163,56789012E,2022-03-02,Miércoles,07:15:56,14:57:36,false
164,12345678A,2022-03-03,Jueves,07:11:57,15:09:03,false
165,23456789B,2022-03-03,Jueves,07:14:52,14:59:20,false
166,34567890C,2022-03-03,Jueves,07:11:19,15:01:20,false
167,45678901D,2022-03-03,Jueves,06:49:59,14:58:08,false
168,56789012E,2022-03-03,Jueves,07:13:16,15:09:06,false
169,12345678A,2022-03-04,Viernes,06:47:56,14:50:08,false
170,23456789B,2022-03-04,Viernes,07:00:25,15:15:11,false
171,34567890C,2022-03-04,Viernes,07:14:44,14:48:53,false
172,45678901D,2022-03-04,Viernes,07:03:40,14:51:44,false
173,56789012E,2022-03-04,Viernes,07:02:52,14:57:28,false
174,12345678A,2022-03-07,Lunes,06:49:40,14:53:28,false
175,34567890C,2022-03-07,Lunes,06:47:54,15:00:59,false
176,45678901D,2022-03-07,Lunes,06:55:01,15:14:44,false
177,56789012E,2022-03-07,Lunes,07:07:48,14:55:28,false
178,12345678A,2022-03-08,Martes,06:59:19,14:59:00,false
179,23456789B,2022-03-08,Martes,07:11:44,14:52:11,false
180,34567890C,2022-03-08,Martes,06:55:04,15:13:20,false
181,45678901D,2022-03-08,Martes,06:57:14,14:52:39,false
182,56789012E,2022-03-08,Martes,07:00:57,14:51:33,false
183,12345678A,2022-03-09,Miércoles,06:55:47,15:02:37,false
184,23456789B,2022-03-09,Miércoles,06:55:50,14:51:00,false
185,34567890C,2022-03-09,Miércoles,06:58:22,14:48:42,false
186,45678901D,2022-03-09,Miércoles,06:52:45,14:59:21,false
187,56789012E,2022-03-09,Miércoles,07:04:17,14:45:13,false
188,12345678A,2022-03-10,Jueves,07:01:05,15:02:50,false
189,34567890C,2022-03-10,Jueves,07:12:06,14:45:55,false
190,45678901D,2022-03-10,Jueves,07:00:15,14:56:07,false
191,56789012E,2022-03-10,Jueves,07:10:27,15:03:40,false
192,12345678A,2022-03-11,Viernes,07:13:18,15:10:51,false
193,34567890C,2022-03-11,Viernes,06:57:27,15:09:55,false
194,56789012E,2022-03-11,Viernes,07:07:32,14:55:00,false
195,12345678A,2022-03-14,Lunes,07:03:50,14:47:03,false
196,23456789B,2022-03-14,Lunes,06:49:06,15:00:24,false
197,34567890C,2022-03-14,Lunes,06:59:41,14:58:33,false
198,45678901D,2022-03-14,Lunes,06:51:37,15:09:12,false
199,56789012E,2022-03-14,Lunes,06:52:02,14:57:29,false
200,12345678A,2022-03-15,Martes,06:46:40,15:08:58,false
201,23456789B,2022-03-15,Martes,06:56:32,14:55:22,false
202,34567890C,2022-03-15,Martes,06:45:23,14:59:34,false
203,56789012E,2022-03-15,Martes,07:07:25,14:48:34,false
204,12345678A,2022-03-16,Miércoles,07:14:18,15:04:48,false
205,23456789B,2022-03-16,Miércoles,06:57:15,14:51:18,false
206,34567890C,2022-03-16,Miércoles,06:47:33,15:02:52,false
207,45678901D,2022-03-16,Miércoles,06:50:38,14:45:10,false
208,56789012E,2022-03-16,Miércoles,07:10:44,15:06:25,false
209,12345678A,2022-03-17,Jueves,06:56:33,14:46:10,false
210,34567890C,2022-03-17,Jueves,07:14:11,14:46:09,false
211,45678901D,2022-03-17,Jueves,07:13:08,14:49:38,false
212,56789012E,2022-03-17,Jueves,07:10:26,15:08:42,false
213,12345678A,2022-03-18,Viernes,07:07:46,15:11:24,false
214,23456789B,2022-03-18,Viernes,07:10:22,15:07:27,false
215,34567890C,2022-03-18,Viernes,07:10:29,14:59:59,false
216,45678901D,2022-03-18,Viernes,06:57:16,15:00:04,false
217,56789012E,2022-03-18,Viernes,06:46:06,14:45:10,false
218,12345678A,2022-03-21,Lunes,07:03:40,14:48:12,false
219,56789012E,2022-03-21,Lunes,07:14:57,15:13:25,false
220,12345678A,2022-03-22,Martes,06:52:39,15:03:31,false
221,23456789B,2022-03-22,Martes,06:45:34,15:08:07,false
222,34567890C,2022-03-22,Martes,07:15:49,14:50:52,false
223,45678901D,2022-03-22,Martes,07:08:52,14:48:59,false
224,56789012E,2022-03-22,Martes,07:03:39,15:05:57,false
225,12345678A,2022-03-23,Miércoles,06:48:00,14:48:14,false
226,34567890C,2022-03-23,Miércoles,06:56:47,14:49:23,false
227,45678901D,2022-03-23,Miércoles,07:00:01,15:00:55,false
228,56789012E,2022-03-23,Miércoles,07:14:58,14:49:39,false
229,23456789B,2022-03-24,Jueves,07:11:23,15:13:57,false
230,34567890C,2022-03-24,Jueves,06:50:47,15:10:19,false
231,56789012E,2022-03-24,Jueves,07:02:04,15:09:07,false
232,12345678A,2022-03-25,Viernes,06:47:08,15:11:46,false
233,23456789B,2022-03-25,Viernes,06:50:59,15:01:25,false
234,34567890C,2022-03-25,Viernes,06:51:05,15:03:09,false
235,45678901D,2022-03-25,Viernes,06:49:05,15:07:13,false
236,56789012E,2022-03-25,Viernes,07:07:06,15:08:14,false
237,23456789B,2022-03-28,Lunes,07:13:03,15:12:11,false
238,34567890C,2022-03-28,Lunes,06:53:31,14:49:11,false
239,45678901D,2022-03-28,Lunes,06:48:32,15:06:00,false
240,56789012E,2022-03-28,Lunes,07:15:36,14:57:10,false
241,12345678A,2022-03-29,Martes,07:04:21,15:00:51,false
242,23456789B,2022-03-29,Martes,07:15:11,15:08:43,false
243,34567890C,2022-03-29,Martes,06:59:22,14:46:14,false
244,45678901D,2022-03-29,Martes,07:01:41,14:46:25,false
245,56789012E,2022-03-29,Martes,06:53:42,14:58:09,false
246,12345678A,2022-03-30,Miércoles,06:48:51,14:50:59,false
247,23456789B,2022-03-30,Miércoles,07:04:21,14:48:49,false
248,34567890C,2022-03-30,Miércoles,07:14:01,14:50:18,false
249,45678901D,2022-03-30,Miércoles,07:06:54,15:02:19,false
250,56789012E,2022-03-30,Miércoles,06:56:31,15:06:16,false
251,12345678A,2022-03-31,Jueves,07:08:02,14:59:34,false
252,34567890C,2022-03-31,Jueves,06:51:00,14:59:52,false
253,45678901D,2022-03-31,Jueves,07:14:11,14:50:20,false
254,56789012E,2022-03-31,Jueves,07:10:30,14:45:46,false
255,12345678A,2022-04-01,Viernes,06:45:38,14:58:29,false
256,23456789B,2022-04-01,Viernes,06:47:08,15:14:19,false
257,34567890C,2022-04-01,Viernes,06:58:47,15:13:30,false
258,45678901D,2022-04-01,Viernes,07:15:32,14:56:37,false
259,56789012E,2022-04-01,Viernes,06:48:35,14:48:23,false
260,23456789B,2022-04-04,Lunes,07:00:21,15:05:47,false
261,34567890C,2022-04-04,Lunes,07:02:02,14:45:31,false
262,45678901D,2022-04-04,Lunes,06:53:26,14:46:31,false
263,23456789B,2022-04-05,Martes,07:15:58,14:55:43,false
264,34567890C,2022-04-05,Martes,07:13:32,14:48:26,false
265,45678901D,2022-04-05,Martes,07:13:55,14:46:15,false
266,12345678A,2022-04-06,Miércoles,07:01:01,14:45:21,false
267,23456789B,2022-04-06,Miércoles,07:14:41,15:05:11,false
268,34567890C,2022-04-06,Miércoles,07:04:30,14:46:20,false
269,45678901D,2022-04-06,Miércoles,06:59:02,15:07:50,false
270,56789012E,2022-04-06,Miércoles,06:49:24,14:46:01,false
271,12345678A,2022-04-07,Jueves,06:59:44,14:52:24,false
272,23456789B,2022-04-07,Jueves,06:54:40,14:54:35,false
273,34567890C,2022-04-07,Jueves,07:03:42,14:49:44,false
274,45678901D,2022-04-07,Jueves,06:55:53,14:47:59,false
275,56789012E,2022-04-07,Jueves,06:49:19,15:06:09,false
276,34567890C,2022-04-08,Viernes,07:11:17,14:49:59,false
277,45678901D,2022-04-08,Viernes,06:53:42,15:02:03,false
278,12345678A,2022-04-11,Lunes,06:57:05,14:48:14,false
279,23456789B,2022-04-11,Lunes,07:14:14,15:00:19,false
280,34567890C,2022-04-11,Lunes,07:09:58,15:08:36,false
281,45678901D,2022-04-11,Lunes,06:45:04,14:54:54,false
282,56789012E,2022-04-11,Lunes,07:02:35,15:01:11,false
283,12345678A,2022-04-12,Martes,07:08:28,14:50:13,false
284,23456789B,2022-04-12,Martes,07:03:44,14:51:59,false
285,34567890C,2022-04-12,Martes,07:11:51,15:07:06,false
286,56789012E,2022-04-12,Martes,07:10:02,15:01:00,false
287,12345678A,2022-04-13,Miércoles,07:02:27,15:06:55,false
288,23456789B,2022-04-13,Miércoles,06:59:13,14:47:56,false
289,34567890C,2022-04-13,Miércoles,07:03:31,15:03:59,false
290,45678901D,2022-04-13,Miércoles,07:08:57,15:13:45,false
291,56789012E,2022-04-13,Miércoles,06:52:33,15:06:38,false
292,12345678A,2022-04-18,Lunes,06:58:44,15:11:08,false
293,34567890C,2022-04-18,Lunes,06:55:25,15:10:40,false
294,56789012E,2022-04-18,Lunes,07:08:12,14:52:10,false
295,12345678A,2022-04-19,Martes,07:04:29,14:50:15,false
296,23456789B,2022-04-19,Martes,06:46:35,15:13:30,false
297,34567890C,2022-04-19,Martes,07:07:15,15:06:06,false
298,45678901D,2022-04-19,Martes,07:05:59,14:57:14,false
299,56789012E,2022-04-19,Martes,06:50:29,14:59:38,false
300,12345678A,2022-04-20,Miércoles,07:06:22,15:05:10,false
301,23456789B,2022-04-20,Miércoles,07:05:14,14:45:25,false
302,34567890C,2022-04-20,Miércoles,06:59:05,14:50:50,false
303,45678901D,2022-04-20,Miércoles,06:56:33,15:14:43,false
304,56789012E,2022-04-20,Miércoles,06:48:37,14:59:50,false
305,12345678A,2022-04-21,Jueves,07:13:56,14:47:08,false
306,23456789B,2022-04-21,Jueves,07:08:21,15:11:02,false
307,34567890C,2022-04-21,Jueves,06:57:21,15:14:42,false
308,56789012E,2022-04-21,Jueves,06:54:48,14:55:38,false
309,12345678A,2022-04-22,Viernes,07:09:23,14:56:20,false
310,34567890C,2022-04-22,Viernes,06:53:59,14:56:07,false
311,45678901D,2022-04-22,Viernes,07:12:21,15:09:16,false
312,56789012E,2022-04-22,Viernes,07:03:40,14:53:57,false
313,23456789B,2022-04-25,Lunes,07:10:47,15:08:54,false
314,34567890C,2022-04-25,Lunes,06:50:46,14:59:14,false
315,56789012E,2022-04-25,Lunes,07:04:37,14:48:56,false
316,12345678A,2022-04-26,Martes,07:12:55,15:08:03,false
317,23456789B,2022-04-26,Martes,06:49:34,14:45:46,false
318,34567890C,2022-04-26,Martes,06:50:39,14:57:38,false
319,45678901D,2022-04-26,Martes,06:57:33,14:46:27,false
320,56789012E,2022-04-26,Martes,07:06:43,14:55:28,false
321,12345678A,2022-04-27,Miércoles,07:04:59,15:10:28,false
322,23456789B,2022-04-27,Miércoles,07:15:44,15:13:50,false
323,34567890C,2022-04-27,Miércoles,06:49:03,14:57:50,false
324,45678901D,2022-04-27,Miércoles,07:13:44,14:47:02,false
325,56789012E,2022-04-27,Miércoles,06:55:42,14:54:23,false
326,23456789B,2022-04-28,Jueves,07:10:45,15:02:59,false
327,45678901D,2022-04-28,Jueves,06:59:00,15:10:51,false
328,56789012E,2022-04-28,Jueves,06:54:46,14:55:10,false
329,12345678A,2022-04-29,Viernes,06:56:01,15:09:26,false
330,34567890C,2022-04-29,Viernes,07:14:28,14:54:21,false
331,45678901D,2022-04-29,Viernes,06:50:28,14:49:08,false
332,23456789B,2022-05-02,Lunes,06:52:17,14:56:10,false
333,34567890C,2022-05-02,Lunes,06:57:28,15:14:16,false
334,45678901D,2022-05-02,Lunes,06:59:56,14:57:08,false
335,56789012E,2022-05-02,Lunes,06:52:05,15:04:23,false
336,23456789B,2022-05-03,Martes,07:10:58,14:48:50,false
337,34567890C,2022-05-03,Martes,06:55:07,14:49:43,false
338,45678901D,2022-05-03,Martes,06:46:38,14:50:33,false
339,56789012E,2022-05-03,Martes,06:45:59,14:57:11,false
340,12345678A,2022-05-04,Miércoles,06:51:51,15:10:00,false
341,23456789B,2022-05-04,Miércoles,07:11:32,14:52:47,false
342,34567890C,2022-05-04,Miércoles,06:51:06,15:01:30,false
343,45678901D,2022-05-04,Miércoles,07:09:36,15:00:09,false
344,56789012E,2022-05-04,Miércoles,07:07:41,15:15:21,false
345,12345678A,2022-05-05,Jueves,06:58:16,14:57:56,false
346,23456789B,2022-05-05,Jueves,07:06:55,14:49:53,false
347,45678901D,2022-05-05,Jueves,06:48:10,14:48:16,false
348,56789012E,2022-05-05,Jueves,07:13:16,14:57:46,false
349,12345678A,2022-05-06,Viernes,06:55:45,14:59:16,false
350,23456789B,2022-05-06,Viernes,07:03:44,14:57:22,false
351,45678901D,2022-05-06,Viernes,07:13:20,15:12:15,false
352,56789012E,2022-05-06,Viernes,07:07:57,14:47:09,false
353,12345678A,2022-05-09,Lunes,07:04:40,14:54:24,false
354,23456789B,2022-05-09,Lunes,07:04:51,14:45:33,false
355,56789012E,2022-05-09,Lunes,07:15:54,14:56:10,false
356,12345678A,2022-05-10,Martes,07:04:59,14:52:43,false
357,23456789B,2022-05-10,Martes,07:12:47,15:01:13,false
358,34567890C,2022-05-10,Martes,06:59:02,15:00:45,false
359,45678901D,2022-05-10,Martes,07:12:46,15:07:48,false
360,56789012E,2022-05-10,Martes,06:47:05,15:08:23,false
361,23456789B,2022-05-11,Miércoles,07:05:00,15:01:34,false
362,34567890C,2022-05-11,Miércoles,07:11:27,14:50:18,false
363,45678901D,2022-05-11,Miércoles,06:57:00,15:00:42,false
364,56789012E,2022-05-11,Miércoles,07:15:52,14:48:26,false
365,12345678A,2022-05-12,Jueves,06:56:21,15:11:18,false
366,45678901D,2022-05-12,Jueves,06:46:09,15:14:37,false
367,56789012E,2022-05-12,Jueves,07:08:39,14:57:11,false
368,34567890C,2022-05-13,Viernes,06:55:36,15:10:50,false
369,45678901D,2022-05-13,Viernes,07:13:51,14:48:06,false
370,56789012E,2022-05-13,Viernes,06:58:25,14:47:08,false
371,12345678A,2022-05-16,Lunes,06:58:25,14:58:37,false
372,23456789B,2022-05-16,Lunes,06:47:04,14:57:31,false
373,34567890C,2022-05-16,Lunes,07:12:21,15:15:42,false
374,45678901D,2022-05-16,Lunes,06:46:59,14:46:45,false
375,56789012E,2022-05-16,Lunes,07:13:20,15:06:34,false
376,23456789B,2022-05-17,Martes,07:14:24,14:54:57,false
377,34567890C,2022-05-17,Martes,07:15:38,15:04:20,false
378,45678901D,2022-05-17,Martes,06:49:45,14:47:50,false
379,56789012E,2022-05-17,Martes,06:50:23,15:09:33,false
380,34567890C,2022-05-18,Miércoles,06:57:11,15:12:22,false
381,45678901D,2022-05-18,Miércoles,07:01:57,14:59:22,false
382,56789012E,2022-05-18,Miércoles,07:05:28,15:09:20,false
383,12345678A,2022-05-19,Jueves,07:12:49,15:15:54,false
384,23456789B,2022-05-19,Jueves,06:56:22,14:55:03,false
385,34567890C,2022-05-19,Jueves,06:57:38,15:00:14,false
386,45678901D,2022-05-19,Jueves,06:56:46,14:58:57,false
387,56789012E,2022-05-19,Jueves,06:55:47,14:55:04,false
388,12345678A,2022-05-20,Viernes,06:45:38,15:06:50,false
389,23456789B,2022-05-20,Viernes,07:13:53,15:10:58,false
390,34567890C,2022-05-20,Viernes,06:53:01,15:05:08,false
391,45678901D,2022-05-20,Viernes,07:14:04,14:59:43,false
392,56789012E,2022-05-20,Viernes,07:02:09,14:49:55,false
393,12345678A,2022-05-23,Lunes,07:06:01,14:51:38,false
394,23456789B,2022-05-23,Lunes,07:10:37,15:15:54,false
395,34567890C,2022-05-23,Lunes,07:12:48,15:08:49,false
396,45678901D,2022-05-23,Lunes,07:13:36,14:51:02,false
397,56789012E,2022-05-23,Lunes,07:15:54,15:14:25,false
398,12345678A,2022-05-24,Martes,06:57:33,14:56:45,false
399,23456789B,2022-05-24,Martes,07:01:06,15:01:43,false
400,34567890C,2022-05-24,Martes,07:02:13,15:11:18,false
401,45678901D,2022-05-24,Martes,07:01:23,15:13:31,false
402,56789012E,2022-05-24,Martes,07:05:34,15:00:01,false
403,12345678A,2022-05-25,Miércoles,06:59:36,14:58:03,false
404,23456789B,2022-05-25,Miércoles,06:55:00,14:50:45,false
405,34567890C,2022-05-25,Miércoles,07:15:44,15:07:27,false
406,45678901D,2022-05-25,Miércoles,06:52:55,14:45:55,false
407,56789012E,2022-05-25,Miércoles,07:04:40,15:08:21,false
408,12345678A,2022-05-26,Jueves,06:58:08,14:45:49,false
409,23456789B,2022-05-26,Jueves,06:59:06,15:05:00,false
410,34567890C,2022-05-26,Jueves,07:05:20,14:54:07,false
411,45678901D,2022-05-26,Jueves,06:52:21,14:54:58,false
412,56789012E,2022-05-26,Jueves,06:53:51,14:58:50,false
413,12345678A,2022-05-27,Viernes,07:11:29,14:55:25,false
414,23456789B,2022-05-27,Viernes,06:49:46,14:51:50,false
415,45678901D,2022-05-27,Viernes,06:53:38,15:02:43,false
416,56789012E,2022-05-27,Viernes,06:50:28,15:08:57,false
417,12345678A,2022-05-30,Lunes,07:01:18,15:10:23,false
418,23456789B,2022-05-30,Lunes,07:04:48,14:49:23,false
419,34567890C,2022-05-30,Lunes,07:05:00,14:52:50,false
420,45678901D,2022-05-30,Lunes,06:52:56,15:05:59,false
421,56789012E,2022-05-30,Lunes,06:59:30,15:14:39,false
